	title	year	rating
151	No Country for Old Men(2007)	2007	8.1
152	Finding Nemo(2003)	2003	8.1
153	Raging Bull(1980)	1980	8.1
154	V for Vendetta(2005)	2005	8.1
155	The Elephant Man(1980)	1980	8.1
156	Gone with the Wind(1939)	1939	8.1
157	Chinatown(1974)	1974	8.1
158	Inside Out(2015)	2015	8.1
159	Lock, Stock and Two Smoking Barrels(1998)	1998	8.1
160	The Thing(1982)	1982	8.1
161	Dial M for Murder(1954)	1954	8.1
162	The Secret in Their Eyes(2009)	2009	8.1
163	Howl's Moving Castle(2004)	2004	8.1
164	The Bridge on the River Kwai(1957)	1957	8.1
165	Trainspotting(1996)	1996	8.1
166	Three Billboards Outside Ebbing, Missouri(2017)	2017	8.1
167	Warrior(2011)	2011	8.1
168	Gran Torino(2008)	2008	8.1
169	Fargo(1996)	1996	8.1
170	My Neighbor Totoro(1988)	1988	8.1
171	Prisoners(2013)	2013	8.1
172	Million Dollar Baby(2004)	2004	8.1
173	Blade Runner(1982)	1982	8.1
174	Catch Me If You Can(2002)	2002	8.1
175	The Gold Rush(1925)	1925	8.1
176	On the Waterfront(1954)	1954	8.1
177	Children of Heaven(1997)	1997	8.1
178	Harry Potter and the Deathly Hallows: Part 2(2011)	2011	8.1
179	The Third Man(1949)	1949	8.1
180	Gone Girl(2014)	2014	8.1
181	12 Years a Slave(2013)	2013	8.1
182	Ben-Hur(1959)	1959	8.1
183	The General(1926)	1926	8.1
184	The Deer Hunter(1978)	1978	8.1
185	Before Sunrise(1995)	1995	8.1
186	Wild Strawberries(1957)	1957	8.1
187	In the Name of the Father(1993)	1993	8.1
188	The Grand Budapest Hotel(2014)	2014	8.1
189	Mr	1939	8.1
190	Room(2015)	2015	8.1
191	Hacksaw Ridge(2016)	2016	8.1
192	Sherlock Jr	1924	8.1
193	Pather Panchali(1955)	1955	8.1
194	How to Train Your Dragon(2010)	2010	8.1
195	The Wages of Fear(1953)	1953	8.1
196	Barry Lyndon(1975)	1975	8.1
197	Memories of Murder(2003)	2003	8.1
198	The Seventh Seal(1957)	1957	8.1
199	Klaus(2019)	2019	8.1
200	Mad Max: Fury Road(2015)	2015	8.1
201	The Big Lebowski(1998)	1998	8.1
202	Wild Tales(2014)	2014	8.1
203	Monsters, Inc	2001	8.1
204	Mary and Max(2009)	2009	8.1
205	Jaws(1975)	1975	8.1
206	The Passion of Joan of Arc(1928)	1928	8.1
207	Hotel Rwanda(2004)	2004	8.1
208	Rocky(1976)	1976	8.1
209	Dead Poets Society(1989)	1989	8.1
210	Tokyo Story(1953)	1953	8.1
211	Platoon(1986)	1986	8.1
212	Ford v Ferrari(2019)	2019	8.1
213	The Terminator(1984)	1984	8.1
214	Stand by Me(1986)	1986	8.1
215	Rush(2013)	2013	8.0
216	Into the Wild(2007)	2007	8.0
217	Logan(2017)	2017	8.0
218	The Wizard of Oz(1939)	1939	8.0
219	Spotlight(2015)	2015	8.0
220	Network(1976)	1976	8.0
221	Groundhog Day(1993)	1993	8.0
222	Ratatouille(2007)	2007	8.0
223	The Exorcist(1973)	1973	8.0
224	Hachi: A Dog's Tale(2009)	2009	8.0
225	The Incredibles(2004)	2004	8.0
226	Before Sunset(2004)	2004	8.0
